Year,China,France,United Kingdom,India,Pakistan,Israel,North Korea,South Africa
2025,600,290,225,180,170,90,50,
2024,500,290,225,172,170,90,50,
2023,410,290,225,164,170,90,30,
2022,390,290,225,160,165,90,25,
2021,370,290,225,160,165,90,20,
2020,350,290,225,150,160,90,35,
2019,290,300,225,140,150,80,25,
2018,280,300,225,140,150,80,20,
2017,270,300,225,130,140,80,15,
2016,260,300,225,120,130,80,10,
2015,260,300,225,110,125,80,5,
2014,250,300,225,100,120,80,,
2013,250,300,225,110,115,80,,
2012,240,300,225,100,110,80,,
2011,240,300,225,90,100,80,,
2010,240,300,225,80,90,80,,
2009,240,300,245,70,80,80,,
2008,235,300,245,60,70,80,,
2007,235,350,245,50,60,80,,
2006,235,350,245,43,50,80,,
2005,235,350,280,38,44,80,,
2004,235,350,280,33,38,80,,
2003,235,350,280,28,32,78,,
2002,235,350,280,23,26,76,,
2001,235,350,280,18,20,74,,
2000,232,470,280,13,14,72,,
1999,232,450,240,8,8,70,,
1998,232,450,240,3,2,68,,
1997,232,450,203,,,66,,
1996,234,450,203,,,64,,
1995,234,500,234,,,63,,
1994,234,510,250,,,62,,
1993,234,525,250,,,60,,
1992,234,540,250,,,58,,
1991,234,540,350,,,56,,
1990,232,505,350,,,53,,
1989,230,410,350,,,51,,6
1988,228,410,350,,,49,,5
1987,226,420,350,,,47,,4
1986,224,355,350,,,44,,3
1985,222,360,350,,,42,,3
1984,220,280,350,,,40,,3
1983,218,279,380,,,38,,3
1982,216,274,385,,,35,,3
1981,210,274,500,,,33,,
1980,205,250,500,,,31,,
1979,195,235,500,,,29,,
1978,190,235,500,,,26,,
1977,180,228,500,,,24,,
1976,180,212,500,,,22,,
1975,180,188,500,,,20,,
1974,170,145,500,,,17,,
1973,150,116,500,,,15,,
1972,130,70,423,,,13,,
1971,100,45,412,,,11,,
1970,75,36,375,,,8,,
1969,50,36,306,,,6,,
1968,35,36,317,,,4,,
1967,25,36,355,,,2,,
1966,20,36,281,,,,,
1965,5,32,271,,,,,
1964,1,4,271,,,,,
1963,,,256,,,,,
1962,,,211,,,,,
1961,,,155,,,,,
1960,,,105,,,,,
1959,,,78,,,,,
1958,,,60,,,,,
1957,,,58,,,,,
1956,,,50,,,,,
1955,,,10,,,,,
1954,,,5,,,,,
1953,,,1,,,,,
1952,,,,,,,,
1951,,,,,,,,
1950,,,,,,,,
1949,,,,,,,,
1948,,,,,,,,
1947,,,,,,,,
1946,,,,,,,,
1945,,,,,,,,
